size	run_1	run_2	run_3	run_4	run_5	run_6	run_7	run_8	run_9	run_10	run_11	run_12	run_13	run_14	run_15
300	36.097	35.503	35.997	36.703	36.438	36.641	36.544	36.761	36.580	36.791	36.479	36.620	36.571	36.553	36.532
600	36.562	36.717	36.581	36.789	36.525	36.637	36.538	36.729	36.600	36.502	36.519	36.637	36.777	36.623	36.808
900	36.750	36.739	36.649	36.735	36.990	36.850	36.824	36.676	37.024	36.742	36.744	36.825	36.770	36.741	36.852
1200	36.990	36.857	37.080	36.804	37.124	36.682	37.022	36.892	36.943	36.885	36.921	36.972	36.758	36.975	36.740
1500	35.671	35.559	35.815	35.931	35.974	35.941	35.958	36.140	36.973	36.275	35.963	35.894	36.016	35.971	35.959
1800	36.055	36.028	36.201	35.973	36.085	36.024	36.001	36.298	35.965	36.196	35.914	36.026	36.150	36.055	36.126
2100	36.112	36.112	36.327	36.063	36.225	36.118	36.035	36.294	36.138	36.228	36.082	36.076	36.015	36.084	36.430
2400	35.046	35.788	36.169	36.009	36.275	36.313	36.150	36.196	36.155	36.405	36.190	36.231	36.091	36.176	36.161
2700	36.198	36.629	36.186	36.216	36.350	36.219	36.552	36.193	36.249	36.255	36.124	36.373	36.291	36.196	36.140
3000	35.903	36.172	36.610	36.220	36.751	36.412	36.224	36.287	36.289	36.659	36.329	36.395	36.403	36.348	36.535
6000	36.971	36.981	37.142	37.310	37.073	37.018	36.951	37.023	37.322	36.995	37.604	37.035	37.853	37.121	37.956
15000	38.233	40.307	38.995	39.175	39.663	39.249	39.162	39.385	39.205	39.756	39.303	39.399	39.859	39.177	39.117
30000	44.409	44.693	44.143	43.806	42.941	43.330	43.288	42.836	42.889	43.169	44.448	43.798	43.847	43.839	44.052
