num_nodes	report_size	gas_used	transmit_a	transmit_v	dist_rew	rew_holders
4	10	316403	284765	271608	83270	39886
4	25	379241	345683	332434	118055	74671
4	50	480482	443724	430319	176114	132730
4	100	685694	642536	628811	292238	248854
4	250	1302094	1239736	1224994	641080	597696
4	500	2331977	2237607	2220974	1224044	1180660
4	1000	4401239	4242869	4221722	2395832	2352448
7	10	340867	306121	292927	83270	39886
7	25	403707	367041	353754	118055	74671
7	50	504949	465083	451640	176114	132730
7	100	710165	663899	650135	292238	248854
7	250	1326563	1261109	1246324	641080	597696
7	500	2356463	2258997	2242316	1224044	1180660
7	1000	4425761	4264295	4243088	2395832	2352448
10	10	366591	328737	315506	83270	39886
10	25	429432	389658	376334	118055	74671
10	50	530652	487702	474221	176114	132730
10	100	735871	686521	672718	292238	248854
10	250	1352304	1283742	1268915	641080	597696
10	500	2382210	2281648	2264918	1224044	1180660
10	1000	4451543	4286981	4265714	2395832	2352448
13	10	393564	352614	339346	83270	39886
13	25	456406	413536	400174	118055	74671
13	50	557627	511581	498062	176114	132730
13	100	762862	710404	696562	292238	248854
13	250	1379294	1307636	1292766	641080	597696
13	500	2409228	2305558	2288780	1224044	1180660
13	1000	4478561	4310927	4289600	2395832	2352448
16	10	421808	377750	364445	83270	39886
16	25	484651	438673	425274	118055	74671
16	50	585863	536721	523163	176114	132730
16	100	791114	735548	721666	292238	248854
16	250	1407555	1332789	1317876	641080	597696
16	500	2437508	2330730	2313903	1224044	1180660
16	1000	4506888	4336134	4314746	2395832	2352448
19	10	451290	404148	390805	83270	39886
19	25	514133	465071	451634	118055	74671
19	50	615335	563121	549525	176114	132730
19	100	820625	761951	748030	292238	248854
19	250	1437065	1359203	1344247	641080	597696
19	500	2467048	2357162	2340286	1224044	1180660
19	1000	4536450	4362600	4341152	2395832	2352448
22	10	482055	431805	418425	83270	39886
22	25	544888	492730	479255	118055	74671
22	50	646104	590782	577147	176114	132730
22	100	851385	789615	775654	292238	248854
22	250	1467847	1386877	1371878	641080	597696
22	500	2497847	2384853	2367928	1224044	1180660
22	1000	4567285	4390327	4368818	2395832	2352448
25	10	514081	460723	447305	83270	39886
25	25	576915	521649	508136	118055	74671
25	50	678132	619702	606029	176114	132730
25	100	883393	818539	804538	292238	248854
25	250	1499879	1415813	1400770	641080	597696
25	500	2529895	2413805	2396831	1224044	1180660
25	1000	4599380	4419314	4397744	2395832	2352448
28	10	547367	490901	477445	83270	39886
28	25	610166	551828	538277	118055	74671
28	50	711421	649883	636171	176114	132730
28	100	916697	848723	834682	292238	248854
28	250	1533169	1446007	1430921	641080	597696
28	500	2563228	2444018	2426994	1224044	1180660
28	1000	4632736	4449562	4427931	2395832	2352448
31	10	581913	522339	508845	83270	39886
31	25	644714	583268	569678	118055	74671
31	50	745958	681324	667573	176114	132730
31	100	951238	880168	866087	292238	248854
31	250	1567721	1477463	1462333	641080	597696
31	500	2597809	2475491	2458418	1224044	1180660
31	1000	4667340	4481070	4459378	2395832	2352448
